Name	Label	Definitional reference	Definition
carr_purcell_meiboom_gill_pulse_sequence	Carr-Purcell-Meiboom-Gill pulse sequence	CHMO:0000718	A pulse sequence which is applied during nuclear magnetic resonance spectroscopy to measure spinspin T2 relaxation times. For the pulse sequence see Rev. Sci. Inst. 1958 29 pg 688.
fluorescence_microscope	fluorescence microscope	CHMO:0001095	A microscope that uses an excitation source to produce light which is passed through an excitation filter reflects off the surface of a dichroic mirror onto the specimen which fluoresces producing light that passes through an emission filter to select only the required wavelengths onto the collector lens.
descriptive_statistical_calculation_objective	descriptive statistical calculation objective	OBI:0200078	A descriptive statistical calculation objective is a data transformation objective which concerns any calculation intended to describe a feature of a data set for example its center or its variability."en
adverse_laboratory_event	adverse laboratory event	CHMO:0010009	An event that takes place in a laboratory that may unintentionally harm an organism or piece of apparatus.
plasma_sputter_deposition	plasma sputter deposition	CHMO:0001371	A synthesis technique where a solid target is bombarded with energetic ions e.g. Ar causing atoms to be ejected 'sputtering'. The ejected atoms then deposit as a thin-film on a substrate. Ionisation of the neutral gas atoms requires a plasma a partially ionised gas containing free electrons source to be generated by passing an electrical discharge through the chamber with the target acting as the cathode.
heteronuclear_single_quantum_coherence_total_correlation_spectroscopy	heteronuclear single quantum coherence total correlation spectroscopy	CHMO:0001071	A type of heteronuclear three-dimensional NMR experiment in which the proton signals of a 2D TOCSY spectrum are dispersed along a third frequency axis according to the chemical shift of their covalently bound heteronuclei.
isoelectric_focusing	isoelectric focusing	CHMO:0001026	An electrophoresis method for the separation of amphoteric analytes according to their isoelectric points by the application of an electric field along a pH gradient.
dual_phase_extraction	dual-phase extraction	CHMO:0002524	An extraction method for soil samples that uses a high-vacuum system to remove liquid and gas from low-permeability or heterogeneous soil. By removing water from the sample liquid-phase extraction the water table is lowered exposing the solid sample to vapor-phase extraction.
isocratic_elution	isocratic elution	CHMO:0002878	
capillary_voltage	capillary voltage	CHMO:0002792	A setting datum that specifies the potential difference across the tip of the capillary in electrospray ionisation.
synchrotron_small_angle_x_ray_scattering	synchrotron small angle X-ray scattering	CHMO:0001266	A method for determining structure by measuring the change in direction or energy of X-rays generated in a synchrotron scattered by a sample at low angles 010.
excitationemission_matrix_fluorescence_spectroscopy	excitation–emission matrix fluorescence spectroscopy	CHMO:0002522	A type of fluorescence spectroscopy where a two-dimensional total fluorescence spectrum is recorded at various excitation wavelengths.
chiral_stationary_phase_high_performance_liquid_chromatography	chiral stationary phase high-performance liquid chromatography	CHMO:0002136	Column chromatography where the mobile phase is a liquid the stationary phase consists of very small chiral particles and the inlet pressure is relatively high.
solvent_suppression_pulse_sequence	solvent suppression pulse sequence	CHMO:0001864	An NMR pulse sequence that is used to suppress or remove the solvent signal.
photodetachment_photoelectron_spectroscopy	photodetachment photoelectron spectroscopy	CHMO:0002686	Spectroscopy where the sample is illuminated with a fixed-energy light source resulting in the detachment of electrons the energies of which are measured.
proton_detected_separated_local_field_spectroscopy	proton detected separated local field spectroscopy	CHMO:0001067	An NMR experiment for the measurement of heteronuclear dipolar couplings. 1H1H interactions are decoupled and proton magnetisation is passed through 13C nuclei present at natural abundance to simplify a dipolarly coupled spectrum.
x_ray_photoelectron_spectroscopy	X-ray photoelectron spectroscopy	CHMO:0000404	Spectroscopy where the sample is illuminated with X-rays causing ionisation and the emission of photoelectrons the energies of which are measured.
only_para_hydrogen_spectroscopy	only para-hydrogen spectroscopy	CHMO:0001178	An NMR experiment where pulsed field gradients are used to filter thermal signals from NMR spectra whilst leaving those derived from para-hydrogen-derived protons intact.
atmospheric_pressure_glow_discharge_tandem_mass_spectrometry	atmospheric pressure glow discharge tandem mass spectrometry	CHMO:0000757	Mass spectrometry where the sample is ionised under atmospheric pressure in a plasma a partially ionised gas-such as Ar-containing free electrons which has been generated by passing an electrical discharge between two electrodes. multiple mass-selection steps are used with some form of fragmentation occurring between each stage.
liquid_phase_infiltration	liquid-phase infiltration	CHMO:0001385	The process of filling in the pores of a material e.g. a ceramic by reaction with or deposition from a liquid.
excitationemission_fluorescence_spectrum	excitation–emission fluorescence spectrum	CHMO:0002525	A 3D plot of excitation wavelength vs. emission wavelength vs. intensity obtained from a fluorescence spectroscopy experiment.
pipes_buffer	PIPES buffer	CHMO:0001762	A buffer solution where the pH is maintained by a 22'-piperazine-14-diylbisethanesulfonic acid22'-piperazine-14-diylbisethanesulfonate equilibrium.
		CHMO:0001131	
hydrodynamic_voltammetry	hydrodynamic voltammetry	CHMO:0000027	An electrochemical technique where the cell current flowing during convective mass transfer the movement of material by the action of a fluid is measured as a function of time and as a function of the potential between the indicator and reference electrodes. The potential is varied linearly and inverts at the end point resulting in a cycle.
extractive_electrospray_ionisation_mass_spectrometry	extractive electrospray ionisation mass spectrometry	CHMO:0000717	Mass spectrometry where a neutral sample in the form of a gas or aerosol flow is ionised by directing it into a plume of charged droplets generated by forcing a solution of pure solvent through a small heated capillary at a flow rate of 1-10 microlitres per minute into an electric field.
two_dimensional_gel_electrophoresis_mass_spectrometry	two-dimensional gel electrophoresis-mass spectrometry	CHMO:0000707	A method where a sample mixture is first separated by two-dimensional gel electrophoresis before being converted into ions which are characterised by their mass-to-charge ratio and relative abundance.
ultraviolet_spectrophotometry	ultraviolet spectrophotometry	CHMO:0001253	Spectroscopy where the sample absorbs radiation from the ultraviolet region 190400 nm resulting in electronic transitions within the sample.
electron_microscopy	electron microscopy	CHMO:0000068	Microscopy where the specimen is bombarded with a finely focused <10 nm diameter electron beam with an acceleration voltage 50-150 kV under vacuum. The interaction of the electrons with the specimen produces transmitted secondary backscattered and diffracted electrons and characteristic X-rays which are detected.
small_angle_powder_x_ray_diffraction_data	small-angle powder X-ray diffraction data	CHMO:0002190	Data which is obtained from an X-ray diffraction experiment where the specimen is a powder and the X-rays are incident on the sample at small angles 0-10 degrees.
plasma_assisted_desorptionionisation_mass_spectrometry	plasma-assisted desorption–ionisation mass spectrometry	CHMO:0000883	Mass spectrometry where a plasma a partially ionised gas-such as Ar-containing free electrons is directed onto the surface of interest causing desorption of sample molecules from the surface and subsequent ionisation.
cold_spray_ionisation_mass_spectrometry	cold-spray ionisation mass spectrometry	CHMO:0000483	Electrospray ionisation mass spectrometry where the sample is ionised by forcing a solution usually in an organic solvent of the sample through a small cold 10-80 C capillary at a flow rate of 1-10 L min1.
51v_magic_angle_spinning_nuclear_magnetic_resonance_spectroscopy	51V magic angle spinning nuclear magnetic resonance spectroscopy	CHMO:0001191	Magic angle spinning nuclear magnetic resonance spectroscopy that probes vanadium-51 nuclei.
gas_liquid_chromatography	gas-liquid chromatography	CHMO:0001016	Gas chromatography where the stationary phase is a liquid.
laser_cooling	laser cooling	CHMO:0001475	A technique for cooling atoms by directing two laser beams with energy just below an electronic transition at the sample from opposite directions. Scattering of the laser photons by the atoms in the sample reduces their kinetic energy.
laser_mass_spectrometry	laser mass spectrometry	CHMO:0000712	Mass spectrometry where the sample is illuminated with a laser.
diffuse_reflectance_ultravioletvisible_spectrophotometry	diffuse reflectance ultraviolet–visible spectrophotometry	CHMO:0000899	Spectroscopy where the diffuse reflection of radiation in the range ultraviolet to visible 190800 nm by a sample is measured.
oven_drying	oven drying	CHMO:0001554	The removal of solvent from a sample by heating in an oven.
fourier_transform_infrared_microscopy	Fourier transform infrared microscopy	CHMO:0000051	The collection of spatially resolved infrared spectra of a sample during optical microscopy. The infrared spectra are obtained by single pulse of infrared radiation and are subject to a Fourier transform.
flow_curve	flow curve	CHMO:0000918	A plot of stress vs. flow rate obtained from rheological measurements.
absolute_activation_analysis	absolute activation analysis	CHMO:0001225	A kind of activation analysis in which the elemental concentrations in the material are calculated from known nuclear constants irradiation and measurement parameters rather than by comparing with known standards.
sputtered_neutral_atom_mass_spectrometry	sputtered neutral atom mass spectrometry	CHMO:0000562	Mass spectrometry where the sample is bombarded with a continuous focused beam of primary mass-selected ions which remove material from the surface of the sample by sputtering. The neutral atoms ejected from the sample are ionised and detected.
resonance_ionisation_spectroscopy	resonance ionisation spectroscopy	CHMO:0000463	Spectroscopy where a sample is illuminated with resonant laser light using a laser which is tuned to match an electronic transition within the sample and photoexcitation is used to promote an atom or molecule above its ionisation potential to create an ion.
pyrolysis_gas_chromatography_infrared_spectroscopy	pyrolysis gas chromatography-infrared spectroscopy	CHMO:0001263	Any method where a sample mixture is first chemically degraded by heating then separated by column chromatography where the mobile phase is a gas then the absorption of radiation from the infrared region by the sample is measured.
modulus_addition_using_spatially_separated_echo_spectroscopy	modulus addition using spatially separated echo spectroscopy	CHMO:0001119	An NMR experiment used to measure self-diffusion coefficients via signal attenuation which occurs due to diffusion during the application of pulsed field gradients. This experiment also corrects for the effects of imperfect pulsed field gradients.
gel_electrophoresis	gel electrophoresis	CHMO:0001021	A separation method where colloidal particles move at different speeds according to their electrophoretic mobilities in a separation medium consisting of gel across which an electric field is applied.
gas_chromatography_microwave_induced_plasma_atomic_emission_detection	gas chromatography-microwave-induced plasma atomic emission detection	CHMO:0002721	A gas chromatography method that is sensitive to individual elements. The eluent is both atomised and excited by a microwave-induced plasma a partially ionised gas containing free electrons and radicals. The characteristic radiation emitted by the atoms in the sample is then detected using a photodiode array.
electrochemical_passivation	electrochemical passivation	CHMO:0002153	Any eletrochemical process that makes one sample unreactive to another prior to using the samples together.
grazing_incidence_small_angle_neutron_scattering	grazing incidence small-angle neutron scattering	CHMO:0000185	A method for determining structure by measuring the change in direction or energy of neutrons scattered at low angles. The incident neutron beam strikes the sample under a small angle close to the critical angle of total external neutron reflection.
x_ray_excited_electron_appearance_potential_spectroscopy	X-ray excited electron appearance potential spectroscopy	CHMO:0000338	Spectroscopy where the sample is bombarded with an electron beam and the energy threshold for excitation is indicated by the sudden appearance of peaks in the photoelectron spectrum.
objective_specification	objective specification	IAO:0000005	A directive information entity that describes an intended process endpoint. When part of a plan specification the concretization is realized in a planned process in which the bearer tries to effect the world so that the process endpoint is achieved."en
photoluminescence_spectrum	photoluminescence spectrum	CHMO:0000865	A plot of intensity vs. wavelength obtained by measuring the intensity of radiation emitted by a sample through photoluminescence emission of light as a result of stimulation with light against the frequency/wavelength of the incident radiation.
analytical_solution_calorimetry	analytical solution calorimetry	CHMO:0001226	The measurement of the enthalpy change during chemical reaction in order to determine quantitative values of a reactant or catalyst. In general at least one reactant is a liquid or solution.
fluorescence_scanning_near_field_optical_microscopy	fluorescence scanning near-field optical microscopy	CHMO:0000121	Microscopy where a probe consisting of a laser of a specific wavelength transmitted through a tapered optical fibre is positioned very close to <10 nm from the surface of the specimen. The tip is coated with metal to prevent light from escaping from the sides and near-field or evanescent field light is emitted through a small opening or 'aperture' 50100 nm in diameter at the apex of the probe. An image is produced by scanning the probe over the specimen and detecting the fluorescence intensity from fluorophores on the surface of the specimen as a function of position. A force feedback loop is used to maintain a fixed relationship between the probe and surface during scanning.
magnetic_circular_dichroism_spectroscopy	magnetic circular dichroism spectroscopy	CHMO:0000325	Spectroscopy based on the differential absorption of left- and right-handed circularly polarised photon radiation in the presence of a magnetic field.
carbon_nanotube	carbon nanotube	CHEBI:50594	A molecule consisting of a graphene cylinder or two or more concentric graphene cylinders.
potentiostatic_coulometry	potentiostatic coulometry	CHMO:0000015	An electrochemical technique where the total Coulombs of electricity required to complete fully oxidise or fully reduce the sample in an electrochemical reaction is measured whilst the potential of the working electrode is held at a constant value.
magnetic_sector	magnetic sector	CHMO:0001053	A piece of apparatus consisting of a magnet which is used to separate an ion beam into discrete ion beams according to the mass-to-charge ratio of the ions.
gas_phase_electrophoretic_mobility_molecular_analysis	gas-phase electrophoretic mobility molecular analysis	CHMO:0001184	A separation method where singly-charged complexes move at different speeds according to their electrophoretic mobilities in air under the influence of an electric field.
raster_image_correlation_spectroscopy	raster image correlation spectroscopy	CHMO:0002284	Spectroscopy where the spontaneous fluorescence intensity fluctuations of a sample are measured and correlated within a very small detection volume which is moving with respect to the sample. The temporal and spatial correlation between adjacent pixels lines and frames is calculated allowing for the mapping of local translational diffusion coefficients.
ion_spectroscopy	ion spectroscopy	CHMO:0000425	Spectroscopy where the absorption of emission of ions is detected.
fluorescence	fluorescence	PATO:0000018	A luminous flux quality inhering in a bearer by virtue of the bearer's emitting longer wavelength light following the absorption of shorter wavelength radiation fluorescence is common with aromatic compounds with several rings joined together.
ion_source_pyrolysis	ion-source pyrolysis	CHMO:0001508	The chemical degradation of a sample by thermal energy in which the reactor is located within the ion source of a mass spectrometer.
absorbance_titration_curve	absorbance titration curve	CHMO:0002411	A plot of volume of titrant vs. absorbance obtained from an absorbance titration experiment.
		CHMO:0000998	
plasma_ionisation	plasma ionisation	CHMO:0001665	Any ionisation method when the sample is ionised in a plasma-a partially ionised gas such as Ar containing free electrons.
stripping_voltammetry	stripping voltammetry	CHMO:0000041	An electrochemical technique where the analyte of interest is first deposited usually by electroplating onto the working electrode before being removed or 'stripped'. During removal the cell current is measured as a function of time and as a function of the potential between the indicator and reference electrodes.
desorption_chemical_ionisation_mass_spectrometry	desorption chemical ionisation mass spectrometry	CHMO:0000474	Mass spectrometry where the sample is dissolved in a volatile solvent and dropped onto a heated filament before being ionised by interaction electron or proton transfer with reagent N2 O2 H2O gaseous ions at low pressure. Reagent ions are produced by electron ionisation.
breath_figure_templating	breath-figure templating	CHMO:0001309	The method of using hexagonally-packed water microspheres as templates for the fabrication of microporous polymer films.
material_separation_function	material separation function	OBI:0000372	A material separation function is a function that increases the resolution between two or more material entities. The  to distinction between the entities is usually based on some associated physical quality."en
categorical_value_specification	categorical value specification	OBI:0001930	A value specification that is specifies one category out of a fixed number of nominal categories"en
liquid_chromatography_capillary_electrophoresis	liquid chromatography-capillary electrophoresis	CHMO:0002462	A two-dimensional separation method where the sample is first subjected to liquid chromatography followed by capillary electrophoresis.
photochemical_curing	photochemical curing	CHMO:0001482	A chemical process in which a prepolymer is converted into a polymer and then into a network upon irradiation with light.
laser_micro_dissection	laser micro-dissection	CHMO:0001530	A type of dissection where a laser is coupled to a microscope and focused onto a biological sample e.g. tissue on the slide.
mercury_cadmium_tellurium_detector	mercury cadmium tellurium detector	CHMO:0002248	A detector for infrared measurements that employs a thin layer of the semiconductor HgCdTe. Incident photons with energy greater than the semiconductor band-gap energy excite electrons into the conduction band creating an increase in the conductivity of the layer which is detected by two electrodes.
external_import_ontology_module	external import ontology module	IAO:8000011	An imported ontology module that is derived from an external ontology. Derivation methods include the OWLAPI SLME approach."en
furnace_atomic_nonthermal_excitation_spectrometry	furnace atomic nonthermal excitation spectrometry	CHMO:0000254	A type of atomic emission spectrometry where the sample is atomised by placing it in a small graphite-coated tube which is rapidly heated by passing a current through it then excited using a glow discharge a potential difference applied across two electrodes immersed in the sample gas.
freeze_drying	freeze drying	CHMO:0001553	The removal of solvent from a sample without passing through the liquidgas boundary. The sample is frozen at liquid nitrogen temperature -80 C then the surrounding pressure is reduced to allow the water in the sample to sublime.
chelatometric_titration	chelatometric titration	CHMO:0001230	The process of determining the quantity of a sample metal cation by adding measured increments of a titrant a chelating agent until the end-point at which essentially all of the sample has reacted is reached.
sputter_etching	sputter etching	CHMO:0001568	The process of removing a thin layer of a sample surface by bombarding it with energetic ions.
isotopic_labelling	isotopic labelling	CHMO:0001677	The substitution of an atom or an ion present in the form of its stable isotope by an isotope of the same element.
synchrotron_x_ray_powder_diffraction	synchrotron X-ray powder diffraction	CHMO:0000758	A method for determining structure by directing a beam of X-rays at a powder sample and detecting the positions and intensities of the diffracted X-rays as a pattern of spots on a photographic plate. The X-rays are generated by the acceleration of charged particles through magnetic fields.
pulsed_field_gradient_nuclear_magnetic_spectroscopy	pulsed-field gradient nuclear magnetic spectroscopy	CHMO:0000789	A type of NMR spectroscopy where a spatially inhomogeneous magnetic field with a defined gradient is used either to select a particular signal or to render unwanted signals undetectable.
diffusion_ordered_spectroscopy_total_correlation_spectroscopy	diffusion-ordered spectroscopy-total correlation spectroscopy	CHMO:0001950	A type of three-dimensional NMR experiment in which the signals of a 2D TOCSY spectrum are dispersed along a third frequency axis according to diffusion coefficient.
femtosecond_laser_flash_photolysis	femtosecond laser flash photolysis	CHMO:0002513	A technique in which a sample is first excited by a strong femtosecond pulse the 'pump' pulse of light from a laser. This first pulse starts a chemical reaction or leads to an increased population of energy levels other than the ground state within the sample. The absorption of light by the sample is recorded within a short time intervals by a 'test' or 'probe' pulse to monitor relaxation or reaction processes initiated by the pump pulse.
differential_pulse_voltammogram	differential pulse voltammogram	CHMO:0001115	A plot of cell current vs. the potential between the indicator and reference electrodes obtained from a differential-pulse voltammetry experiment i.e. where the potential is varied using pulses of increasing amplitude and the current is sampled before and after each voltage pulse.
site_specific_infrared_dichroism_spectroscopy	site-specific infrared dichroism spectroscopy	CHMO:0000784	Spectroscopy based on the differential absorption of polarised infrared light by a set of isotopically labelled sites in a sample. The introduction of a labelled atom e.g. 13C16O results in a shift of the corresponding absorption frequency.
ultravioletvisible_spectrum	ultraviolet–visible spectrum	CHMO:0000842	A plot of absorbance vs. wavelength obtained by measuring the amount of radiation absorbed by a sample as a function of the wavelength of incident radiation in the ultraviolet to visible 190800 nm range.
atomic_force_infrared_microscopy	atomic force infrared microscopy	CHMO:0002661	The simultaneous collection of AFM topography data and spatially-resolved IR spectra by measuring the IR absorption via transient deformation of the AFM cantilever induced by an infrared pulsed laser tuned to a wavelength that corresponds to a vibrational absorbing wavelength in the specimen as a function of AFM tip position.
catalytic_pyrolysis	catalytic pyrolysis	CHMO:0001504	The chemical degradation of a sample by thermal energy in the presence of a catalyst.
obsolete_sample_preparation_method_measurement_method	obsolete: sample preparation method-measurement method	CHMO:0001134	A method in which a sample preparation method is coupled to a measurement method.
ion_cyclotron_resonance_mass_spectrometry	ion cyclotron resonance mass spectrometry	CHMO:0000501	Mass spectrometry where the mass-to-charge ratio of the sample ions is determined by measuring their cyclotron frequency the frequency at which they precesses in a fixed magnetic field.
liquid_chromatography_tandem_mass_spectrometry	liquid chromatography-tandem mass spectrometry	CHMO:0000701	A method where a sample mixture is first separated by liquid chromatography before being ionised and characterised by mass-to-charge ratio and relative abundance using two mass spectrometers in series.
thermoptometry	thermoptometry	CHMO:0000692	The measurement of an optical characteristic of a sample as a function of temperature.
vacuum_ultraviolet_spectrophotometry	vacuum ultraviolet spectrophotometry	CHMO:0000296	Spectroscopy where the sample absorbs radiation in the vacuum ultraviolet region 0.1-200 nm resulting in electronic transitions within the sample.
spectroscopic_ellipsometry	spectroscopic ellipsometry	CHMO:0000225	A method for determining structure by illuminating a sample with a continuous-wavelength light source and measuring the intensity and change in polarisation of the reflected light as a function of wavelength.
occurrent	occurrent	BFO:0000003	An entity that has temporal parts and that happens unfolds or develops through time."en
visible_spectrum	visible spectrum	CHMO:0001959	A plot of absorbance vs. wavelength obtained by measuring the amount of radiation absorbed by a sample as a function of the wavelength of incident radiation from the visible region 380800 nm range.
base_peak_intensity_chromatogram	base peak intensity chromatogram	CHMO:0002390	A plot of ion current vs. retention time obtained from a chromatography experiment with mass detection. The base peak intensity chromatogram represents the intensity of the most intense peak at any one time.
karl_fischer_coulometric_titration	Karl-Fischer coulometric titration	CHMO:0002678	The process of determining trace amounts of water in a sample by the titration of sulphur dioxide in water using iodine. In this method the I2 is generated electrochemically from I- and titrated with sulphur dioxide.
57fe_mossbauer_spectroscopy	57Fe Mossbauer spectroscopy	CHMO:0002030	Spectroscopy where the intensity of a gamma-rays beam transmitted through a solid sample containing 57Fe nuclei is detected.
nanoflow_liquid_chromatography_chip_enabled_ion_trap_mass_spectrometry	nanoflow liquid chromatography chip enabled ion trap mass spectrometry	CHMO:0000754	A method where a sample mixture is first separated by liquid chromatography flow rate nL min-1 before being passed though a 'chip' a microfluidic device to the mass spectrometer where the mass-to-charge ratio of the sample ions is measured whilst the ions are held in a stable orbit by an electric or magnetic field.
constant_capacitance_deep_level_transient_spectroscopy	constant-capacitance deep-level transient spectroscopy	CHMO:0001772	A method for determining the extent of intrinsic and process-induced defects in the  crystalline layers within  semiconductor devices. Defects arising from impurities grain boundaries interfaces etc. result in the creation of traps that capture free electrons and holes. By holding the capacitance constant and monitoring the carrier emission produced when applying a voltage pulse to the semiconductor junction at different temperatures spectra are generated which exhibit a peak for each 'deep level' each energy level near the center of the band gap. The height of the peak is proportional to the defect density and the emission rate and temperature dependence are characteristic for each type of defect.
copper_molecular_entity	copper molecular entity	CHEBI:23377	
porous_layer_open_tubular_column	porous-layer open-tubular column	CHMO:0000972	An open-tubular column in which a porous layer achieved by either etching a non-porous layer or by deposition of porous particles from a suspension coats the inner wall and may serve as a support for a liquid stationary phase or as the stationary phase itself.
13c_nuclear_magnetic_resonance_spectroscopy	13C nuclear magnetic resonance spectroscopy	CHMO:0000595	Spectroscopy where the energy states of 13C nuclei placed in a static magnetic field are interrogated by inducing transitions between the states via radio frequency irradiation. Each experiment consists of a sequence of radio frequency pulses with delay periods in between them.
electron_multiplier	electron multiplier	CHMO:0001060	A piece of apparatus that on contact with a charged particle of sufficient energy emits a greater number electrons.
1h_1h_only_para_hydrogen_spectroscopy_correlation_spectroscopy	1H-1H only para-hydrogen spectroscopy correlation spectroscopy	CHMO:0001181	A type of homonuclear NMR spectroscopy where a second frequency dimension is employed to disperse the signals and reveal correlations between nuclei which are J-coupled usually < 3 bonds apart. Thermal signals in the resulting 1H spectra are then removed whilst keeping the signals from para-hydrogen-derived protons intact.
five_quantum_excitation_in_combination_with_magic_angle_spinning	five-quantum excitation in combination with magic angle spinning	CHMO:0001206	An NMR experiment used for 5/2-spin quadrupolar nuclei involving transitions between non-consecutive energy levels during the excitation of the spin system by the first rf pulse.
material_handling_technique	material handling technique	CHMO:0010002	
laser_desorption_ionisation	laser desorption ionisation	CHMO:0002335	An ionisation method where the sample usually a large organic molecule or biomolecule is vaporised and ionised using a high-energy pulsed laser.
thin_film_x_ray_diffraction	thin-film X-ray diffraction	CHMO:0001294	A range of techniques used to determine the structure of thin films by directing a beam of X-rays at the sample and detecting the positions and intensities of the diffracted X-rays as a pattern of spots on a photographic plate. Techniques include glancing-incidence X-ray reflectivity and pole figure measurements.
beta_particle_spectroscopy	beta-particle spectroscopy	CHMO:0000321	Spectroscopy where the beta-particles spontaneously emitted from radioisotopes are detected.
coherence_probe_microscopy	coherence probe microscopy	CHMO:0000109	Microscopy where the surface of the specimen is illuminated with short-coherence length visible light split into two beams which then interfere to produce fringes whose spacing is proportional to the profile of the specimen.
pyrolysis_field_desorption_mass_spectrometry	pyrolysis field desorption mass spectrometry	CHMO:0000493	Mass spectrometry where the sample is pyrolysed then deposited on a solid surface known as an 'emitter' and ionised by interaction with a high electric field.
positive_mode_atmospheric_pressure_chemical_ionization_mass_spectrometry	positive mode atmospheric pressure chemical ionization mass spectrometry	CHMO:0002763	Atmospheric pressure chemical ionization mass spectrometry where the sample is ionized by interaction with positive ions.
variable_temperature_nuclear_magnetic_resonance_spectroscopy	variable-temperature nuclear magnetic resonance spectroscopy	CHMO:0000780	Spectroscopy where the response of a nucleus with non-zero spin to a perturbing magnetic field is detected at temperatures above or below the ambient probe temperature. Each experiment consists of a sequence of radio frequency pulses with delay periods in between them.
rotational_echo_double_resonance_spectroscopy	rotational-echo double-resonance spectroscopy	CHMO:0000896	A magic angle spinning NMR experiment in which the evolution of dipolar couplings between nuclei is controlled by applying pulses at appropriate points in the rotational period allowing the determination of the size of the coupling and thus yielding distance information.
temperature_programmed_reduction_profile	temperature-programmed reduction profile	CHMO:0002910	A plot of the consumption of a reducing agent in moles per second per gram of material against temperature obtained from a temperature-programmed reduction experiment.
concentrating	concentrating	CHMO:0002771	A preparative step where the concentration of one component is increased.
photoacoustic_spectroscopy	photoacoustic spectroscopy	CHMO:0000619	Spectroscopy where the sound emitted when a gaseous sample is exposed to an intense laser beam which is rapidly interrupted by a rotating slotted disk is measured.
matrix_role	matrix role	CHMO:0002744	The role inhering in that portion of a sample which is not measured by an experiment.
reflectance_spectrum	reflectance spectrum	CHMO:0000937	A plot of reflectance  vs. wavenumber obtained by measuring the amount of radiation reflected by a sample.
magnetic_force_microscopy	magnetic force microscopy	CHMO:0000115	Microscopy which uses a sharp magnetic spike known as a 'tip' mounted on the end of a cantilever to scan the surface of a magnetic specimen. An image of the surface is obtained by mechanically moving the tip in a raster scan of the specimen line by line and recording the magnetic force experienced by it as a function of position. A feedback loop is used to maintain a fixed relationship between the tip and surface during scanning.
fourier_transform_microwave_spectroscopy	Fourier transform microwave spectroscopy	CHMO:0000587	Spectroscopy where the sample is irradiated with a single pulse of radiation in the microwave region 11000 mm and the spectrum is subject to a Fourier transform.
nanolithography	nanolithography	CHMO:0001391	Any synthesis technique involving the transfer of a nanosized pattern to a material.
neutron_time_of_flight_scattering	neutron time-of-flight scattering	CHMO:0000194	A method for determining structure by measuring the change in direction or energy of scattered neutrons and the time since the indicent pulse 'time-of-flight' for each neutron. Neutrons are scattered by the atomic nuclei in the sample and suffer a loss of kinetic energy during collisions.
microextraction	microextraction	CHMO:0002806	The transfer of a microlitre amount of solute from a liquid phase to another immiscible or partially-miscible liquid phase in contact with it.
correlation_spectroscopy	correlation spectroscopy	CHMO:0000599	A type of homonuclear NMR spectroscopy where a second frequency dimension is employed to disperse the signals and reveal correlations between nuclei which are J-coupled usually <3 bonds apart.
spectrophotometer	spectrophotometer	CHMO:0002232	A piece of apparatus used to measure a spectrum by illumination with visible light.
thermal_curing	thermal curing	CHMO:0001483	A chemical process in which a prepolymer is converted into a polymer and then into a network upon application of heat.
thermoluminescence_spectroscopy	thermoluminescence spectroscopy	CHMO:0002723	Spectroscopy where thermoluminescence visible light emitted by certain crystalline materials when previously absorbed energy from electromagnetic radiation or other ionizing radiation is re-emitted as light upon heating of the material is detected as a function of wavelength.
solvent_vapour_annealing	solvent vapour annealing	CHMO:0002251	A method applied to polymer films to increase polymer chain mobility. The film is exposed to a solvent atmosphere at room-temperature causing it to swell.
microscopy_assay	microscopy assay	OBI:0002119	An imaging assay that utilizes a microscope to magnify features of the visualized material of interest that are not visible to naked eye."en
microspectrum	microspectrum	CHMO:0000819	A spectrum obtained from a very small portion of a sample for example by means of a microscope.
smith_degradation	Smith degradation	CHMO:0002918	Selective degradation of polysaccharides by periodate oxidation.
liquid_chromatography	liquid chromatography	OBI:0003547	A preparative chromatography in which material components are separated in a liquid solution."en
attenuated_total_reflectance_fourier_transform_infrared_spectrum	attenuated total reflectance Fourier transform infrared spectrum	CHMO:0002687	A plot of absorbance or emission vs. wavelength/wavenumber/frequency obtained through a Fourier transform of the times series of the absorption or emission of a sample that has been excited by an infrared-frequency pulse. The infrared light is introduced into a prism at an angle exceeding the critical angle for internal reflection. This produces an evanescent wave at the reflecting surface a surface which is transparent to infrared such as thallium bromide on which the sample is supported. The distortion of the evanescent wave by the sample is measured.
		Thing	
two_dimensional_liquid_chromatography	two-dimensional liquid chromatography	CHMO:0001835	A type of chromatography where the mobile phase is a liquid an initial separation proceeds in a primary column commonly ion-exchange and parts of the eluent from this column are directed into a secondary column commonly reverse phase.
ontology_module_subsetted_by_expressivity	ontology module subsetted by expressivity	IAO:8000017	
statistical_total_correlation_spectroscopy	statistical total correlation spectroscopy	CHMO:0002545	A type of homonuclear NMR spectroscopy which reveal correlations between all nuclei of a spin-system. This technique exploits the correlations seen between the intensities of spectral features of multiple spectra so as to obtain a statistically derived spectrum. This technique is of particular value for metabolic profiling.
photoelectron_spectroscopy_of_adsorbed_xenon	photoelectron spectroscopy of adsorbed xenon	CHMO:0002696	Spectroscopy where Xe atoms adsorbed on the surface of a sample are illuminated with photons causing ionisation and the emission of photoelectrons which are detected. The binding energy of the core or valence levels of Xe weakly bound to the surface relative to the Fermi level of the substrate depends on the local work function of its adsorption site.
precipitation	precipitation	CHMO:0001688	The sedimentation of a solid material a 'precipitate' from a liquid solution in which the material is present in amounts greater than its solubility in the liquid.
